,venue,innings,batting_team,bowling_team,striker,bowler,total_runs
866,"Rajiv Gandhi International Stadium, Uppal",100,Mumbai Indians,Sunrisers Hyderabad,28.337,11.903,38
867,JSCA International Stadium Complex,50,Rajasthan Royals,Chennai Super Kings,21.86,10.25,42
868,JSCA International Stadium Complex,100,Chennai Super Kings,Rajasthan Royals,45.95,3.113,48
869,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Delhi Daredevils,32.814,3.983,34
870,M Chinnaswamy Stadium,100,Delhi Daredevils,Royal Challengers Bangalore,44.131,3.391,46
871,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Punjab Kings,21.391,7.895,55
872,"Rajiv Gandhi International Stadium, Uppal",100,Punjab Kings,Sunrisers Hyderabad,36.174,10.386,86
873,Barabati Stadium,50,Mumbai Indians,Kolkata Knight Riders,37.906,12.6,37
874,Barabati Stadium,100,Kolkata Knight Riders,Mumbai Indians,22.493,10.071,45
875,Narendra Modi Stadium,50,Rajasthan Royals,Delhi Daredevils,56.133,3.219,52
876,Narendra Modi Stadium,100,Delhi Daredevils,Rajasthan Royals,40.167,6.71,34
877,JSCA International Stadium Complex,50,Chennai Super Kings,Royal Challengers Bangalore,44.767,3.036,39
878,JSCA International Stadium Complex,100,Royal Challengers Bangalore,Chennai Super Kings,32.814,8.974,17
879,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Kolkata Knight Riders,30.651,10.724,41
880,"Rajiv Gandhi International Stadium, Uppal",100,Kolkata Knight Riders,Sunrisers Hyderabad,32.24,9.713,30
881,Narendra Modi Stadium,50,Mumbai Indians,Rajasthan Royals,20.055,7.305,42
882,Narendra Modi Stadium,100,Rajasthan Royals,Mumbai Indians,38.67,3.278,47
883,Feroz Shah Kotla,50,Delhi Daredevils,Punjab Kings,31.312,6.618,55
884,Feroz Shah Kotla,100,Punjab Kings,Delhi Daredevils,24.11,5.109,66
885,"Rajiv Gandhi International Stadium, Uppal",50,Royal Challengers Bangalore,Sunrisers Hyderabad,41.088,9.721,25
886,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Royal Challengers Bangalore,22.799,3.036,51
887,Eden Gardens,50,Chennai Super Kings,Kolkata Knight Riders,34.241,10.455,35
888,Eden Gardens,100,Kolkata Knight Riders,Chennai Super Kings,22.493,10.803,52
889,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Mumbai Indians,34.397,7.402,48
890,"Punjab Cricket Association Stadium, Mohali",100,Mumbai Indians,Punjab Kings,20.055,6.91,62
891,Eden Gardens,50,Kolkata Knight Riders,Royal Challengers Bangalore,45.302,5.122,45
892,Eden Gardens,100,Royal Challengers Bangalore,Kolkata Knight Riders,29.772,10.724,36
893,JSCA International Stadium Complex,50,Chennai Super Kings,Sunrisers Hyderabad,34.675,9.721,60
894,JSCA International Stadium Complex,100,Sunrisers Hyderabad,Chennai Super Kings,22.799,8.379,64
895,Wankhede Stadium,50,Mumbai Indians,Delhi Daredevils,20.055,5.619,65
896,Wankhede Stadium,100,Delhi Daredevils,Mumbai Indians,31.312,4.091,47
897,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Rajasthan Royals,34.397,5.96,53
898,"Punjab Cricket Association Stadium, Mohali",100,Rajasthan Royals,Punjab Kings,31.569,3.194,44
899,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Chennai Super Kings,44.327,13.42,34
900,M Chinnaswamy Stadium,100,Chennai Super Kings,Royal Challengers Bangalore,34.675,2.018,64
901,Eden Gardens,50,Sunrisers Hyderabad,Kolkata Knight Riders,32.059,9.483,49
902,Eden Gardens,100,Kolkata Knight Riders,Sunrisers Hyderabad,32.24,9.597,49
903,"Punjab Cricket Association Stadium, Mohali",50,Delhi Daredevils,Punjab Kings,37.849,5.113,44
904,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Delhi Daredevils,45.776,4.275,48
905,Wankhede Stadium,50,Rajasthan Royals,Mumbai Indians,20.558,6.449,35
906,Wankhede Stadium,100,Mumbai Indians,Rajasthan Royals,44.412,10.057,71
907,Eden Gardens,50,Kolkata Knight Riders,Punjab Kings,32.24,5.405,55
908,Eden Gardens,100,Punjab Kings,Kolkata Knight Riders,36.174,12.6,46
909,Brabourne Stadium,50,Mumbai Indians,Chennai Super Kings,20.055,9.456,53
910,Brabourne Stadium,100,Chennai Super Kings,Mumbai Indians,22.978,6.719,60
911,Wankhede Stadium,50,Punjab Kings,Chennai Super Kings,24.11,9.456,70
912,Wankhede Stadium,100,Chennai Super Kings,Punjab Kings,34.675,9.363,100
913,M Chinnaswamy Stadium,50,Punjab Kings,Kolkata Knight Riders,46.168,10.724,32
914,M Chinnaswamy Stadium,100,Kolkata Knight Riders,Punjab Kings,32.24,5.647,59
915,Eden Gardens,50,Mumbai Indians,Kolkata Knight Riders,44.53,10.052,37
916,Eden Gardens,100,Kolkata Knight Riders,Mumbai Indians,32.24,9.663,38
917,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Delhi Daredevils,45.95,5.145,59
918,"MA Chidambaram Stadium, Chepauk",100,Delhi Daredevils,Chennai Super Kings,51.387,8.18,40
919,Maharashtra Cricket Association Stadium,50,Rajasthan Royals,Punjab Kings,42.296,7.211,35
920,Maharashtra Cricket Association Stadium,100,Punjab Kings,Rajasthan Royals,46.458,9.665,51
921,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Sunrisers Hyderabad,22.544,12.925,49
922,"MA Chidambaram Stadium, Chepauk",100,Sunrisers Hyderabad,Chennai Super Kings,34.915,8.18,46
923,Eden Gardens,50,Kolkata Knight Riders,Royal Challengers Bangalore,22.493,2.947,53
924,Eden Gardens,100,Royal Challengers Bangalore,Kolkata Knight Riders,31.532,6.238,41
925,Feroz Shah Kotla,50,Delhi Daredevils,Rajasthan Royals,29.475,8.696,51
926,Feroz Shah Kotla,100,Rajasthan Royals,Delhi Daredevils,31.118,4.261,42
927,Wankhede Stadium,50,Punjab Kings,Mumbai Indians,23.259,7.436,57
928,Wankhede Stadium,100,Mumbai Indians,Punjab Kings,44.53,8.676,17
929,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Sunrisers Hyderabad,31.532,12.138,47
930,M Chinnaswamy Stadium,100,Sunrisers Hyderabad,Royal Challengers Bangalore,22.799,2.947,65
931,Narendra Modi Stadium,50,Mumbai Indians,Rajasthan Royals,37.258,8.99,31
932,Narendra Modi Stadium,100,Rajasthan Royals,Mumbai Indians,31.118,7.436,42
933,Eden Gardens,50,Chennai Super Kings,Kolkata Knight Riders,67.587,8.488,69
934,Eden Gardens,100,Kolkata Knight Riders,Chennai Super Kings,32.24,8.18,38
935,Maharashtra Cricket Association Stadium,50,Punjab Kings,Delhi Daredevils,35.323,2.408,41
936,Maharashtra Cricket Association Stadium,100,Delhi Daredevils,Punjab Kings,29.475,8.676,47
937,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Sunrisers Hyderabad,Rajasthan Royals,42.679,8.306,35
938,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Rajasthan Royals,Sunrisers Hyderabad,20.39,12.138,36
939,Wankhede Stadium,50,Mumbai Indians,Chennai Super Kings,48.316,9.456,31
940,Wankhede Stadium,100,Chennai Super Kings,Mumbai Indians,22.544,7.636,90
941,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Delhi Daredevils,Sunrisers Hyderabad,29.475,13.049,40
942,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Sunrisers Hyderabad,Delhi Daredevils,22.799,2.798,50
943,Maharashtra Cricket Association Stadium,50,Punjab Kings,Kolkata Knight Riders,56.451,9.717,48
944,Maharashtra Cricket Association Stadium,100,Kolkata Knight Riders,Punjab Kings,44.887,8.676,53
945,Narendra Modi Stadium,50,Chennai Super Kings,Rajasthan Royals,45.95,4.927,39
946,Narendra Modi Stadium,100,Rajasthan Royals,Chennai Super Kings,20.075,9.456,47
947,M Chinnaswamy Stadium,50,Mumbai Indians,Royal Challengers Bangalore,27.371,4.05,48
948,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Mumbai Indians,31.304,12.436,33
949,Feroz Shah Kotla,50,Delhi Daredevils,Kolkata Knight Riders,37.532,12.265,34
950,Feroz Shah Kotla,100,Kolkata Knight Riders,Delhi Daredevils,44.887,2.408,48
951,Narendra Modi Stadium,50,Rajasthan Royals,Punjab Kings,20.075,8.676,43
952,Narendra Modi Stadium,100,Punjab Kings,Rajasthan Royals,33.546,4.921,40
953,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Sunrisers Hyderabad,Kolkata Knight Riders,22.799,6.631,43
954,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Kolkata Knight Riders,Sunrisers Hyderabad,45.018,14.694,49
955,M Chinnaswamy Stadium,50,Chennai Super Kings,Royal Challengers Bangalore,34.241,4.425,45
956,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Chennai Super Kings,36.304,9.456,38
957,Feroz Shah Kotla,50,Delhi Daredevils,Mumbai Indians,29.475,12.436,45
958,Feroz Shah Kotla,100,Mumbai Indians,Delhi Daredevils,27.371,2.798,48
959,Narendra Modi Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,41.981,5.335,48
960,Narendra Modi Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,32.949,11.678,49
961,Wankhede Stadium,50,Mumbai Indians,Sunrisers Hyderabad,27.371,11.358,46
962,Wankhede Stadium,100,Sunrisers Hyderabad,Mumbai Indians,22.799,10.313,52
963,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Punjab Kings,34.241,8.776,54
964,"MA Chidambaram Stadium, Chepauk",100,Punjab Kings,Chennai Super Kings,43.54,9.456,39
965,Feroz Shah Kotla,50,Delhi Daredevils,Royal Challengers Bangalore,37.749,4.07,38
966,Feroz Shah Kotla,100,Royal Challengers Bangalore,Delhi Daredevils,22.396,2.507,50
967,"Punjab Cricket Association Stadium, Mohali",50,Sunrisers Hyderabad,Punjab Kings,29.62,8.676,56
968,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Sunrisers Hyderabad,41.698,12.138,36
969,Eden Gardens,50,Kolkata Knight Riders,Delhi Daredevils,32.24,9.475,50
970,Eden Gardens,100,Delhi Daredevils,Kolkata Knight Riders,18.394,8.671,36
971,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,42.445,11.008,52
972,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Kolkata Knight Riders,34.241,7.9,53
973,"MA Chidambaram Stadium, Chepauk",100,Kolkata Knight Riders,Chennai Super Kings,44.887,13.915,54
974,Feroz Shah Kotla,50,Punjab Kings,Delhi Daredevils,66.987,7.377,27
975,Feroz Shah Kotla,100,Delhi Daredevils,Punjab Kings,20.457,7.365,41
976,Wankhede Stadium,50,Mumbai Indians,Rajasthan Royals,27.371,9.642,47
977,Wankhede Stadium,100,Rajasthan Royals,Mumbai Indians,30.512,10.701,55
978,M Chinnaswamy Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,35.271,5.845,61
979,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,42.445,8.488,62
980,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Chennai Super Kings,22.799,8.28,76
981,"Rajiv Gandhi International Stadium, Uppal",100,Chennai Super Kings,Sunrisers Hyderabad,45.95,13.003,54
982,"Punjab Cricket Association Stadium, Mohali",50,Mumbai Indians,Punjab Kings,20.438,9.766,51
983,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Mumbai Indians,44.925,10.701,45
984,Brabourne Stadium,50,Rajasthan Royals,Delhi Daredevils,20.075,7.087,43
985,Brabourne Stadium,100,Delhi Daredevils,Rajasthan Royals,37.749,10.332,55
986,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Royal Challengers Bangalore,34.241,4.425,37
987,"MA Chidambaram Stadium, Chepauk",100,Royal Challengers Bangalore,Chennai Super Kings,39.02,9.456,42
988,Eden Gardens,50,Kolkata Knight Riders,Sunrisers Hyderabad,22.493,13.914,55
989,Eden Gardens,100,Sunrisers Hyderabad,Kolkata Knight Riders,51.243,7.201,33
990,Wankhede Stadium,50,Delhi Daredevils,Mumbai Indians,36.175,13.655,44
991,Wankhede Stadium,100,Mumbai Indians,Delhi Daredevils,54.473,7.671,41
992,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Punjab Kings,22.396,8.676,68
993,M Chinnaswamy Stadium,100,Punjab Kings,Royal Challengers Bangalore,65.142,4.103,34
994,Brabourne Stadium,50,Sunrisers Hyderabad,Rajasthan Royals,34.218,11.871,56
995,Brabourne Stadium,100,Rajasthan Royals,Sunrisers Hyderabad,41.981,13.836,36
996,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Mumbai Indians,34.241,7.068,44
997,"MA Chidambaram Stadium, Chepauk",100,Mumbai Indians,Chennai Super Kings,20.438,12.64,61
998,Eden Gardens,50,Punjab Kings,Kolkata Knight Riders,33.482,9.161,45
999,Eden Gardens,100,Kolkata Knight Riders,Punjab Kings,32.24,7.398,57
1000,Shaheed Veer Narayan Singh International Stadium,50,Sunrisers Hyderabad,Delhi Daredevils,41.983,7.28,41
1001,Shaheed Veer Narayan Singh International Stadium,100,Delhi Daredevils,Sunrisers Hyderabad,31.19,14.036,49
1002,Wankhede Stadium,50,Royal Challengers Bangalore,Mumbai Indians,32.949,9.482,39
1003,Wankhede Stadium,100,Mumbai Indians,Royal Challengers Bangalore,30.006,4.77,45
1004,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Rajasthan Royals,45.95,6.624,36
1005,"MA Chidambaram Stadium, Chepauk",100,Rajasthan Royals,Chennai Super Kings,30.802,8.18,40
1006,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Punjab Kings,22.799,6.408,56
1007,"Rajiv Gandhi International Stadium, Uppal",100,Punjab Kings,Sunrisers Hyderabad,33.482,12.737,47
1008,Shaheed Veer Narayan Singh International Stadium,50,Chennai Super Kings,Delhi Daredevils,22.544,6.727,16
1009,Shaheed Veer Narayan Singh International Stadium,100,Delhi Daredevils,Chennai Super Kings,39.464,9.47,28
1010,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Royal Challengers Bangalore,63.775,6.545,72
1011,"Punjab Cricket Association Stadium, Mohali",100,Royal Challengers Bangalore,Punjab Kings,42.445,6.601,61
1012,Wankhede Stadium,50,Mumbai Indians,Kolkata Knight Riders,38.926,10.052,46
1013,Wankhede Stadium,100,Kolkata Knight Riders,Mumbai Indians,45.302,13.655,50
1014,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Royal Challengers Bangalore,34.218,7.93,68
1015,"Rajiv Gandhi International Stadium, Uppal",100,Royal Challengers Bangalore,Sunrisers Hyderabad,51.581,14.694,83
1016,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Chennai Super Kings,54.138,6.121,41
1017,"Punjab Cricket Association Stadium, Mohali",100,Chennai Super Kings,Punjab Kings,44.716,5.92,47
1018,Brabourne Stadium,50,Rajasthan Royals,Kolkata Knight Riders,20.075,10.734,66
1019,Brabourne Stadium,100,Kolkata Knight Riders,Rajasthan Royals,45.302,7.342,53
1020,M Chinnaswamy Stadium,50,Delhi Daredevils,Royal Challengers Bangalore,22.172,6.155,54
1021,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Delhi Daredevils,22.396,5.956,2
1022,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Mumbai Indians,54.099,10.407,29
1023,"Rajiv Gandhi International Stadium, Uppal",100,Mumbai Indians,Sunrisers Hyderabad,20.438,13.914,38
1024,Wankhede Stadium,50,Mumbai Indians,Chennai Super Kings,20.438,8.905,48
1025,Wankhede Stadium,100,Chennai Super Kings,Mumbai Indians,44.71,10.407,54
1026,Maharashtra Cricket Association Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,22.396,11.678,41
1027,Maharashtra Cricket Association Stadium,100,Rajasthan Royals,Royal Challengers Bangalore,41.239,4.103,40
1028,JSCA International Stadium Complex,50,Royal Challengers Bangalore,Chennai Super Kings,42.445,8.905,29
1029,JSCA International Stadium Complex,100,Chennai Super Kings,Royal Challengers Bangalore,33.013,4.103,34
1030,Eden Gardens,50,Mumbai Indians,Chennai Super Kings,30.006,13.324,61
1031,Eden Gardens,100,Chennai Super Kings,Mumbai Indians,33.0,10.407,31
1032,Wankhede Stadium,50,Mumbai Indians,Rising Pune Supergiants,54.155,8.206,37
1033,Wankhede Stadium,100,Rising Pune Supergiants,Mumbai Indians,21.663,5.279,57
1034,Eden Gardens,50,Delhi Daredevils,Kolkata Knight Riders,62.24,6.308,35
1035,Eden Gardens,100,Kolkata Knight Riders,Delhi Daredevils,22.493,9.088,47
1036,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Punjab Kings,Gujarat Lions,21.417,7.548,52
1037,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Gujarat Lions,Punjab Kings,33.311,12.216,57
1038,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Sunrisers Hyderabad,32.949,10.34,49
1039,M Chinnaswamy Stadium,100,Sunrisers Hyderabad,Royal Challengers Bangalore,34.218,4.777,56
1040,Eden Gardens,50,Kolkata Knight Riders,Mumbai Indians,32.24,6.709,40
1041,Eden Gardens,100,Mumbai Indians,Kolkata Knight Riders,23.762,2.314,53
1042,Saurashtra Cricket Association Stadium,50,Rising Pune Supergiants,Gujarat Lions,33.556,6.211,57
1043,Saurashtra Cricket Association Stadium,100,Gujarat Lions,Rising Pune Supergiants,21.614,12.27,62
1044,Feroz Shah Kotla,50,Punjab Kings,Delhi Daredevils,31.704,8.364,37
1045,Feroz Shah Kotla,100,Delhi Daredevils,Punjab Kings,32.608,12.72,28
1046,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Kolkata Knight Riders,41.983,10.052,36
1047,"Rajiv Gandhi International Stadium, Uppal",100,Kolkata Knight Riders,Sunrisers Hyderabad,22.493,6.554,36
1048,Wankhede Stadium,50,Mumbai Indians,Gujarat Lions,37.383,8.89,31
1049,Wankhede Stadium,100,Gujarat Lions,Mumbai Indians,33.311,7.886,42
1050,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Rising Pune Supergiants,Punjab Kings,33.556,6.611,49
1051,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Punjab Kings,Rising Pune Supergiants,21.417,9.465,50
1052,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Delhi Daredevils,32.949,9.592,63
1053,M Chinnaswamy Stadium,100,Delhi Daredevils,Royal Challengers Bangalore,43.787,5.763,51
1054,"Rajiv Gandhi International Stadium, Uppal",50,Mumbai Indians,Sunrisers Hyderabad,40.486,7.419,40
1055,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Mumbai Indians,34.218,9.957,33
1056,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Punjab Kings,Kolkata Knight Riders,31.704,10.052,41
1057,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Kolkata Knight Riders,Punjab Kings,22.493,10.26,65
1058,Wankhede Stadium,50,Royal Challengers Bangalore,Mumbai Indians,32.874,6.709,49
1059,Wankhede Stadium,100,Mumbai Indians,Royal Challengers Bangalore,28.906,5.93,51
1060,Saurashtra Cricket Association Stadium,50,Gujarat Lions,Sunrisers Hyderabad,33.311,6.747,50
1061,Saurashtra Cricket Association Stadium,100,Sunrisers Hyderabad,Gujarat Lions,22.799,9.452,63
1062,Maharashtra Cricket Association Stadium,50,Royal Challengers Bangalore,Rising Pune Supergiants,32.874,5.698,48
1063,Maharashtra Cricket Association Stadium,100,Rising Pune Supergiants,Royal Challengers Bangalore,53.127,6.428,36
1064,Feroz Shah Kotla,50,Delhi Daredevils,Mumbai Indians,32.608,7.886,41
1065,Feroz Shah Kotla,100,Mumbai Indians,Delhi Daredevils,28.906,9.992,52
1066,"Rajiv Gandhi International Stadium, Uppal",50,Punjab Kings,Sunrisers Hyderabad,42.236,6.747,35
1067,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Punjab Kings,22.799,9.562,65
1068,Saurashtra Cricket Association Stadium,50,Royal Challengers Bangalore,Gujarat Lions,30.879,9.478,50
1069,Saurashtra Cricket Association Stadium,100,Gujarat Lions,Royal Challengers Bangalore,22.544,7.862,72
1070,Maharashtra Cricket Association Stadium,50,Rising Pune Supergiants,Kolkata Knight Riders,32.39,9.559,31
1071,Maharashtra Cricket Association Stadium,100,Kolkata Knight Riders,Rising Pune Supergiants,43.823,8.573,59
1072,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Mumbai Indians,Punjab Kings,28.906,8.985,39
1073,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Punjab Kings,Mumbai Indians,42.838,6.709,40
1074,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Rising Pune Supergiants,40.442,4.685,27
1075,"Rajiv Gandhi International Stadium, Uppal",100,Rising Pune Supergiants,Sunrisers Hyderabad,32.39,10.34,46
1076,Feroz Shah Kotla,50,Gujarat Lions,Delhi Daredevils,22.544,8.828,71
1077,Feroz Shah Kotla,100,Delhi Daredevils,Gujarat Lions,52.341,8.89,22
1078,Wankhede Stadium,50,Kolkata Knight Riders,Mumbai Indians,22.493,9.957,59
1079,Wankhede Stadium,100,Mumbai Indians,Kolkata Knight Riders,28.906,11.26,64
1080,Maharashtra Cricket Association Stadium,50,Rising Pune Supergiants,Gujarat Lions,29.18,8.89,48
1081,Maharashtra Cricket Association Stadium,100,Gujarat Lions,Rising Pune Supergiants,22.544,12.079,72
1082,Feroz Shah Kotla,50,Delhi Daredevils,Kolkata Knight Riders,53.063,4.944,37
1083,Feroz Shah Kotla,100,Kolkata Knight Riders,Delhi Daredevils,48.93,7.491,43
1084,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Royal Challengers Bangalore,34.772,7.171,49
1085,"Rajiv Gandhi International Stadium, Uppal",100,Royal Challengers Bangalore,Sunrisers Hyderabad,32.874,10.34,45
1086,Saurashtra Cricket Association Stadium,50,Punjab Kings,Gujarat Lions,18.025,9.574,59
1087,Saurashtra Cricket Association Stadium,100,Gujarat Lions,Punjab Kings,43.377,10.848,36
1088,Maharashtra Cricket Association Stadium,50,Rising Pune Supergiants,Mumbai Indians,29.18,7.886,54
1089,Maharashtra Cricket Association Stadium,100,Mumbai Indians,Rising Pune Supergiants,28.906,4.398,47
1090,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Kolkata Knight Riders,34.512,7.682,40
1091,M Chinnaswamy Stadium,100,Kolkata Knight Riders,Royal Challengers Bangalore,45.118,9.636,37
1092,Saurashtra Cricket Association Stadium,50,Gujarat Lions,Delhi Daredevils,53.716,10.656,35
1093,Saurashtra Cricket Association Stadium,100,Delhi Daredevils,Gujarat Lions,21.708,9.19,61
1094,Eden Gardens,50,Kolkata Knight Riders,Punjab Kings,22.493,10.751,40
1095,Eden Gardens,100,Punjab Kings,Kolkata Knight Riders,52.358,9.717,37
1096,Feroz Shah Kotla,50,Delhi Daredevils,Rising Pune Supergiants,31.488,4.398,48
1097,Feroz Shah Kotla,100,Rising Pune Supergiants,Delhi Daredevils,24.957,2.321,50
1098,"Rajiv Gandhi International Stadium, Uppal",50,Gujarat Lions,Sunrisers Hyderabad,53.716,10.34,26
1099,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Gujarat Lions,46.192,10.377,38
1100,M Chinnaswamy Stadium,50,Rising Pune Supergiants,Royal Challengers Bangalore,33.456,6.312,60
1101,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Rising Pune Supergiants,22.321,7.601,46
1102,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Punjab Kings,Delhi Daredevils,28.695,10.656,45
1103,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Delhi Daredevils,Punjab Kings,22.271,10.848,51
1104,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Sunrisers Hyderabad,Mumbai Indians,22.799,9.957,51
1105,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Mumbai Indians,Sunrisers Hyderabad,66.016,10.317,32
1106,Eden Gardens,50,Kolkata Knight Riders,Gujarat Lions,66.632,9.481,28
1107,Eden Gardens,100,Gujarat Lions,Kolkata Knight Riders,34.241,8.88,46
1108,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Royal Challengers Bangalore,Punjab Kings,22.321,11.531,56
1109,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Punjab Kings,Royal Challengers Bangalore,33.018,6.467,50
1110,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Sunrisers Hyderabad,Rising Pune Supergiants,34.772,6.908,34
1111,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Rising Pune Supergiants,Sunrisers Hyderabad,38.066,10.317,25
1112,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Mumbai Indians,45.065,7.886,25
1113,M Chinnaswamy Stadium,100,Mumbai Indians,Royal Challengers Bangalore,28.906,6.812,39
1114,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Delhi Daredevils,22.799,3.444,51
1115,"Rajiv Gandhi International Stadium, Uppal",100,Delhi Daredevils,Sunrisers Hyderabad,33.133,10.999,50
1116,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Mumbai Indians,Punjab Kings,35.923,10.165,21
1117,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Punjab Kings,Mumbai Indians,33.018,7.886,32
1118,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Gujarat Lions,32.949,9.374,42
1119,M Chinnaswamy Stadium,100,Gujarat Lions,Royal Challengers Bangalore,44.027,8.216,41
1120,Eden Gardens,50,Rising Pune Supergiants,Kolkata Knight Riders,43.45,7.011,37
1121,Eden Gardens,100,Kolkata Knight Riders,Rising Pune Supergiants,45.302,8.143,66
1122,"Punjab Cricket Association IS Bindra Stadium, Mohali",50,Punjab Kings,Sunrisers Hyderabad,33.018,10.435,47
1123,"Punjab Cricket Association IS Bindra Stadium, Mohali",100,Sunrisers Hyderabad,Punjab Kings,22.799,10.919,55
1124,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Mumbai Indians,Delhi Daredevils,21.149,8.828,45
1125,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Delhi Daredevils,Mumbai Indians,43.57,11.869,49
1126,Eden Gardens,50,Kolkata Knight Riders,Royal Challengers Bangalore,32.24,8.018,51
1127,Eden Gardens,100,Royal Challengers Bangalore,Kolkata Knight Riders,22.396,9.551,63
1128,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Delhi Daredevils,Rising Pune Supergiants,43.787,7.463,28
1129,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Rising Pune Supergiants,Delhi Daredevils,34.951,9.088,44
1130,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Punjab Kings,22.396,10.357,63
1131,M Chinnaswamy Stadium,100,Punjab Kings,Royal Challengers Bangalore,62.278,8.587,59
1132,Green Park,50,Kolkata Knight Riders,Gujarat Lions,45.615,9.481,44
1133,Green Park,100,Gujarat Lions,Kolkata Knight Riders,53.716,7.085,55
